Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,java:S3415:  "Swap these 2 arguments so they are in the correct order: expected value actual value.",MAJOR,2min,Key: AXaPGV1n8LKHpH7XnERS Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/MergeSamboxTaskTest.java - startLine: 802;startOffset: 53;endOffset: 54;endLine: 802,Maintenance (Code Smells)
To-Do,New,Normal,java:S3415:  "Swap these 2 arguments so they are in the correct order: expected value actual value.",MAJOR,2min,Key: AXaPGV1n8LKHpH7XnERT Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/MergeSamboxTaskTest.java - startLine: 804;startOffset: 53;endOffset: 54;endLine: 804,Maintenance (Code Smells)
To-Do,New,Normal,java:S3415:  "Swap these 2 arguments so they are in the correct order: expected value actual value.",MAJOR,2min,Key: AXaPGV1n8LKHpH7XnERU Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/MergeSamboxTaskTest.java - startLine: 823;startOffset: 53;endOffset: 55;endLine: 823,Maintenance (Code Smells)
To-Do,New,Normal,java:S3415:  "Swap these 2 arguments so they are in the correct order: expected value actual value.",MAJOR,2min,Key: AXaPGV1n8LKHpH7XnERV Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/MergeSamboxTaskTest.java - startLine: 824;startOffset: 53;endOffset: 55;endLine: 824,Maintenance (Code Smells)
To-Do,New,Normal,java:S3415:  "Swap these 2 arguments so they are in the correct order: expected value actual value.",MAJOR,2min,Key: AXaPGV1n8LKHpH7XnERW Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/MergeSamboxTaskTest.java - startLine: 825;startOffset: 53;endOffset: 55;endLine: 825,Maintenance (Code Smells)
To-Do,New,Normal,java:S3415:  "Swap these 2 arguments so they are in the correct order: expected value actual value.",MAJOR,2min,Key: AXaPGV1n8LKHpH7XnERX Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/MergeSamboxTaskTest.java - startLine: 826;startOffset: 53;endOffset: 55;endLine: 826,Maintenance (Code Smells)
To-Do,New,Normal,java:S3415:  "Swap these 2 arguments so they are in the correct order: expected value actual value.",MAJOR,2min,Key: AXaPGV1n8LKHpH7XnERY Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/MergeSamboxTaskTest.java - startLine: 828;startOffset: 53;endOffset: 56;endLine: 828,Maintenance (Code Smells)
To-Do,New,Normal,java:S3415:  "Swap these 2 arguments so they are in the correct order: expected value actual value.",MAJOR,2min,Key: AXaPGV1n8LKHpH7XnERO Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/MergeSamboxTaskTest.java - startLine: 585;startOffset: 64;endOffset: 67;endLine: 585,Maintenance (Code Smells)
To-Do,New,Normal,java:S1192:  "Define a constant instead of duplicating this literal Unable to create temporary buffer 3 times.",CRITICAL,8min,Key: AXaPGVug8LKHpH7XnENt Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/core/support/io/IOUtils.java - startLine: 85;startOffset: 42;endOffset: 77;endLine: 85,Maintenance (Code Smells)
To-Do,New,Normal,java:S3415:  "Swap these 2 arguments so they are in the correct order: expected value actual value.",MAJOR,2min,Key: AXaPGVwT8LKHpH7XnEON Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/test/java/org/sejda/core/support/prefix/NameGeneratorTest.java - startLine: 103;startOffset: 40;endOffset: 60;endLine: 103,Maintenance (Code Smells)
To-Do,New,Normal,java:S3415:  "Swap these 2 arguments so they are in the correct order: expected value actual value.",MAJOR,2min,Key: AXaPGVwT8LKHpH7XnEOO Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/test/java/org/sejda/core/support/prefix/NameGeneratorTest.java - startLine: 110;startOffset: 40;endOffset: 67;endLine: 110,Maintenance (Code Smells)
To-Do,New,Normal,java:S1854:  "Remove this useless assignment to local variable relativePagesCounter.",MAJOR,15min,Key: AXaPGV0h8LKHpH7XnEQ0 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/MergeTask.java - startLine: 164;startOffset: 33;endOffset: 36;endLine: 164,Maintenance (Code Smells)
To-Do,New,Normal,java:S1450:  "Remove the catalogPageLabelsMerger field and declare it as a local variable in the relevant methods.",MINOR,5min,Key: AXaPGV0h8LKHpH7XnEQx Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/MergeTask.java - startLine: 81;startOffset: 36;endOffset: 59;endLine: 81,Maintenance (Code Smells)
To-Do,New,Normal,java:S1135:  "Complete the task associated to this TODO comment.",INFO,,Key: AXaPGVz-8LKHpH7XnEQC Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/util/PageLabelUtils.java - startLine: 88;startOffset: 0;endOffset: 58;endLine: 88,Maintenance (Code Smells)
To-Do,New,Normal,java:S2864:  "Iterate over the entrySet instead of the keySet.",MAJOR,5min,Key: AXaPGVz-8LKHpH7XnEQD Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/util/PageLabelUtils.java - startLine: 103;startOffset: 12;endOffset: 15;endLine: 103,Maintenance (Code Smells)
To-Do,New,Normal,java:S2864:  "Iterate over the entrySet instead of the keySet.",MAJOR,5min,Key: AXaPGVz-8LKHpH7XnEQE Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/util/PageLabelUtils.java - startLine: 124;startOffset: 8;endOffset: 11;endLine: 124,Maintenance (Code Smells)
To-Do,New,Normal,java:S1155:  "Use isEmpty() to check whether the collection is empty or not.",MINOR,2min,Key: AXaPGVy68LKHpH7XnEPG Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/AcroFormsMerger.java - startLine: 329;startOffset: 27;endOffset: 40;endLine: 329,Maintenance (Code Smells)
To-Do,New,Normal,java:S1181:  "Catch Exception instead of Throwable.",MAJOR,20min,Key: AXaPGVzT8LKHpH7XnEPW Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/image/ExifHelper.java - startLine: 44;startOffset: 17;endOffset: 26;endLine: 44,Maintenance (Code Smells)
To-Do,New,Normal,java:S112:  "Define and throw a dedicated exception instead of using a generic one.",MAJOR,20min,Key: AXaPGVyp8LKHpH7XnEOz Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/PDDocumentHandler.java - startLine: 383;startOffset: 18;endOffset: 34;endLine: 383,Maintenance (Code Smells)
To-Do,New,Normal,common-java:DuplicatedBlocks:  "1 duplicated blocks of code must be removed.",MAJOR,20min,Key: AXaPGVrH8LKHpH7XnEMy Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/parameter/image/PdfToMultipleTiffParameters.java,Maintenance (Code Smells)
To-Do,New,Normal,java:S1612:  "Replace this lambda with a method reference.",MINOR,2min,Key: AXaPGVzQ8LKHpH7XnEPT Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/ContentStreamProcessor.java - startLine: 53;startOffset: 32;endOffset: 34;endLine: 53,Maintenance (Code Smells)
To-Do,New,Normal,java:S1135:  "Complete the task associated to this TODO comment.",INFO,,Key: AXaPGVzQ8LKHpH7XnEPU Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/ContentStreamProcessor.java - startLine: 60;startOffset: 0;endOffset: 71;endLine: 60,Maintenance (Code Smells)
To-Do,New,Normal,java:S1155:  "Use isEmpty() to check whether the collection is empty or not.",MINOR,2min,Key: AXaPGVzp8LKHpH7XnEPt Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/excel/DataTable.java - startLine: 120;startOffset: 15;endOffset: 35;endLine: 120,Maintenance (Code Smells)
To-Do,New,Normal,java:S125:  "This block of commented-out lines of code should be removed.",MAJOR,5min,Key: AXaPGVzu8LKHpH7XnEPw Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/PdfScaler.java - startLine: 125;startOffset: 11;endOffset: 44;endLine: 125,Maintenance (Code Smells)
To-Do,New,Normal,java:S125:  "This block of commented-out lines of code should be removed.",MAJOR,5min,Key: AXaPGVzu8LKHpH7XnEPx Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/PdfScaler.java - startLine: 133;startOffset: 11;endOffset: 71;endLine: 133,Maintenance (Code Smells)
To-Do,New,Normal,java:S125:  "This block of commented-out lines of code should be removed.",MAJOR,5min,Key: AXaPGVzu8LKHpH7XnEPy Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/PdfScaler.java - startLine: 139;startOffset: 11;endOffset: 92;endLine: 139,Maintenance (Code Smells)
To-Do,New,Normal,java:S1488:  "Immediately return this expression instead of assigning it to the temporary variable factor.",MINOR,2min,Key: AXaPGVzu8LKHpH7XnEPv Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/PdfScaler.java - startLine: 340;startOffset: 23;endOffset: 58;endLine: 340,Maintenance (Code Smells)
To-Do,New,Normal,java:S125:  "This block of commented-out lines of code should be removed.",MAJOR,5min,Key: AXaPGVzu8LKHpH7XnEP4 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/PdfScaler.java - startLine: 341;startOffset: 11;endOffset: 135;endLine: 341,Maintenance (Code Smells)
To-Do,New,Normal,java:S3008:  "Rename this field FONT to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,2min,Key: AXaPGVzg8LKHpH7XnEPh Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/FilenameFooterWriter.java - startLine: 49;startOffset: 26;endOffset: 30;endLine: 49,Maintenance (Code Smells)
To-Do,New,Normal,java:S3008:  "Rename this field FONT_SIZE to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,2min,Key: AXaPGVzg8LKHpH7XnEPi Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/FilenameFooterWriter.java - startLine: 50;startOffset: 26;endOffset: 35;endLine: 50,Maintenance (Code Smells)
