Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGV1I8LKHpH7XnERI Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/component/PDDocumentAccessPermissionTest.java - startLine: 138;startOffset: 16;endOffset: 24;endLine: 138,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGV1I8LKHpH7XnERJ Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/component/PDDocumentAccessPermissionTest.java - startLine: 150;startOffset: 16;endOffset: 27;endLine: 150,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGV1I8LKHpH7XnERK Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/component/PDDocumentAccessPermissionTest.java - startLine: 162;startOffset: 16;endOffset: 28;endLine: 162,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGV1I8LKHpH7XnERL Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/component/PDDocumentAccessPermissionTest.java - startLine: 174;startOffset: 16;endOffset: 26;endLine: 174,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2187:  ""Add some tests to this class.""",BLOCKER,5min,Key: AXaPGVnK8LKHpH7XnEMR Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-conversion/src/test/java/org/sejda/conversion/BaseFileSourceListParserTest.java - startLine: 36;startOffset: 13;endOffset: 41;endLine: 36,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGVo48LKHpH7XnEMT Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-conversion/src/test/java/org/sejda/conversion/HorizontalAlignAdapterTest.java - startLine: 31;startOffset: 16;endOffset: 25;endLine: 31,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGVpO8LKHpH7XnEMW Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-conversion/src/test/java/org/sejda/conversion/VerticalAlignAdapterTest.java - startLine: 31;startOffset: 16;endOffset: 25;endLine: 31,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGVpT8LKHpH7XnEMX Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-conversion/src/test/java/org/sejda/conversion/PdfAccessPermissionAdapterTest.java - startLine: 13;startOffset: 16;endOffset: 27;endLine: 13,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGVvN8LKHpH7XnEN0 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/test/java/org/sejda/model/input/PdfFileSourceTest.java - startLine: 50;startOffset: 16;endOffset: 29;endLine: 50,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal %s%s%d 3 times.""",CRITICAL,8min,Key: AXaPGVy68LKHpH7XnEPF Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/AcroFormsMerger.java - startLine: 153;startOffset: 50;endOffset: 58;endLine: 153,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.""",CRITICAL,10min,Key: AXaPGVzW8LKHpH7XnEPd Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/image/ImagesToPdfDocumentConverter.java - startLine: 64;startOffset: 29;endOffset: 36;endLine: 64,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 40 to the 15 allowed.""",CRITICAL,30min,Key: AXaPGV0h8LKHpH7XnEQ1 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/MergeTask.java - startLine: 100;startOffset: 16;endOffset: 23;endLine: 100,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 26 to the 15 allowed.""",CRITICAL,16min,Key: AXaPGV0B8LKHpH7XnEQS Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/util/FontUtils.java - startLine: 395;startOffset: 31;endOffset: 40;endLine: 395,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal %s.%s 3 times.""",CRITICAL,8min,Key: AXaPGVug8LKHpH7XnENs Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/core/support/io/IOUtils.java - startLine: 180;startOffset: 33;endOffset: 40;endLine: 180,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal Unable to create temporary buffer 3 times.""",CRITICAL,8min,Key: AXaPGVug8LKHpH7XnENt Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/core/support/io/IOUtils.java - startLine: 84;startOffset: 42;endOffset: 77;endLine: 84,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.""",CRITICAL,10min,Key: AXaPGV0B8LKHpH7XnEQU Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/util/FontUtils.java - startLine: 486;startOffset: 37;endOffset: 49;endLine: 486,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5361:  ""Replace this call to replaceAll() by a call to the replace() method.""",CRITICAL,2min,Key: AXaPGVx38LKHpH7XnEOf Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/main/java/org/sejda/core/support/util/StringUtils.java - startLine: 40;startOffset: 18;endOffset: 28;endLine: 40,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 27 to the 15 allowed.""",CRITICAL,17min,Key: AXaPGVy38LKHpH7XnEPD Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/TableOfContentsCreator.java - startLine: 154;startOffset: 31;endOffset: 42;endLine: 154,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 34 to the 15 allowed.""",CRITICAL,24min,Key: AXaPGVzj8LKHpH7XnEPm Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/SamboxOutlineLevelsHandler.java - startLine: 60;startOffset: 42;endOffset: 68;endLine: 60,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.""",CRITICAL,8min,Key: AXaPGVyt8LKHpH7XnEO7 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/optimization/ResourcesHitter.java - startLine: 68;startOffset: 20;endOffset: 27;endLine: 68,Maintenance (Code Smells)
